source,id,name,url,price_value,price_currency,price_period,price_low,price_high,price_text,address,city,country,postal_code,lat,lng,rating,rating_count,type,image,description,source_url
amberstudent,amberstudent:iq-kingston-1709160215838,"iQ Kingston, Kingston upon Thames",https://www.iqstudentaccommodation.com/search/location/kingston?year=2020-21,279.0,GBP,week,279.0,499.0,279.0,"15 Wood St, Kingston upon Thames KT1 1TY, UK",Kingston upon Thames,GB,KT1 1TY,51.4121689,-0.3059448,4.9,11,student_accommodation,https://assets.amberstudent.com/inventories/137486/1f3cc758.jpg,,https://amberstudent.com/places/search/london-1811028205760
amberstudent,amberstudent:blithehale-court-london-1710102916062,"Blithehale Court, London",https://www.unitestudents.com/student-accommodation/london/blithehale-court,279.0,GBP,week,279.0,443.0,279.0,"Blithehale Court, 10 Witan St, London E2 6FG, UK",London,GB,E2 6FG,51.5252816,-0.0567241,4.7,7,student_accommodation,https://assets.amberstudent.com/inventories/2380223/f6777fb9.webp,,https://amberstudent.com/places/search/london-1811028205760
amberstudent,amberstudent:brooke-hall-london-2305268223262,"Brooke Hall, London",https://essentialstudentliving.com/student-accommodation/london/brooke-hall,279.0,GBP,week,279.0,289.0,279.0,"17 Flodden Rd, London SE5 9LH, UK",London,GB,SE5 9LH,51.47485269999999,-0.1000891,,,student_accommodation,https://assets.amberstudent.com/inventories/270479/b6bb12ed.webp,,https://amberstudent.com/places/search/london-1811028205760
amberstudent,amberstudent:the-craft-building-london-2505036824644,"The Craft Building, London",https://www.sanctuary-students.com/student-accommodation/london/the-craft-building,280.0,GBP,week,280.0,334.0,280.0,"12 Greatorex St, London E1 5NF, UK",London,GB,E1 5NF,51.51806329999999,-0.06707620000000002,,,student_accommodation,https://assets.amberstudent.com/inventories/1833033/eeaa3c74.webp,,https://amberstudent.com/places/search/london-1811028205760
amberstudent,amberstudent:bright-house-kingston-upon-thames-2309052935938,"Bright House, Kingston upon Thames",https://wearehomesforstudents.com/student-accommodation/kingston-upon-thames/bright-house,285.0,GBP,week,285.0,295.0,285.0,"Kingston Hall Rd, Kingston upon Thames KT1, UK",Kingston upon Thames,GB,KT1,51.4074714,-0.3058308,5.0,5,student_accommodation,https://assets.amberstudent.com/inventories/384094/898a4a4c.jpeg,,https://amberstudent.com/places/search/london-1811028205760
amberstudent,amberstudent:chapter-lewisham-london-1707296011998,"Chapter Lewisham, London",https://www.chapter-living.com/properties/lewisham/,286.0,GBP,week,286.0,450.0,286.0,"46 Thurston Rd, London SE13 7SD, UK",London,GB,SE13 7SD,51.46640009999999,-0.0164776,4.5,18,student_accommodation,https://assets.amberstudent.com/inventories/2413300/38d2fa98.webp,,https://amberstudent.com/places/search/london-1811028205760
amberstudent,amberstudent:chapter-old-street-london-2203164613042,"Chapter Old Street, London",https://www.chapter-living.com/properties/old-street/,289.0,GBP,week,289.0,730.0,289.0,"18 Paul St, London EC2A 4JH, UK",London,GB,EC2A 4JH,51.5228239,-0.08419960000000001,5.0,5,student_accommodation,https://assets.amberstudent.com/inventories/212161/66d40e63.webp,,https://amberstudent.com/places/search/london-1811028205760
amberstudent,amberstudent:go-britanya-ealing-residence-london-2406071331750,"GoBritanya Ealing Residence, London",https://docs.google.com/spreadsheets/d/1l2AR2i0prSBYHWEJxUaBDjLYaXKW1moVcaM5PPSfJgE/edit?gid=0#gid=0,290.0,GBP,week,290.0,421.0,290.0,"3 Victoria Rd, North Acton, London W3 6UN, UK",London,GB,W3 6UN,51.52285749999999,-0.2586461,,,student_accommodation,https://assets.amberstudent.com/inventories/1102299/9322f6e5.jpg,,https://amberstudent.com/places/search/london-1811028205760
amberstudent,amberstudent:beaumont-court-london-1710100493914,"Beaumont Court, London",https://www.unitestudents.com/london/beaumont-court,291.0,GBP,week,291.0,488.0,291.0,"1-45 College Grove NW, London NW1 0RW, UK",London,GB,NW1 0RW,51.538079,-0.1335005,4.3,3,student_accommodation,https://assets.amberstudent.com/inventories/137721/a554eab7.webp,,https://amberstudent.com/places/search/london-1811028205760
amberstudent,amberstudent:wellington-lodge-london-1710117401829,"Wellington Lodge, London",https://www.unitestudents.com/london/wellington-lodge,292.0,GBP,week,292.0,421.0,292.0,"268-282 Waterloo Rd, London SE1 8RQ, UK",London,GB,SE1 8RQ,51.4991399,-0.1066272,4.0,3,student_accommodation,https://assets.amberstudent.com/inventories/138031/6d5adb19.jpeg,,https://amberstudent.com/places/search/london-1811028205760
